
Loading datasets...
  Plants: 11,673
  Organisms: 11,711
  Fungi: 11,711
  tier_1_tropical               : 1,659 plants
  tier_2_mediterranean          : 4,064 plants
  tier_3_humid_temperate        : 8,808 plants
  tier_4_continental            : 4,381 plants
  tier_5_boreal_polar           :   960 plants
  tier_6_arid                   : 2,404 plants

Initializing Faith's PD calculator...
Loading phylogenetic tree from: data/stage1/phlogeny/mixgb_tree_11676_species_20251027.nwk
Loading mapping from: data/stage1/phlogeny/mixgb_wfo_to_tree_mapping_11676.csv
  Tree tips: 10977
  WFO mappings: 11676
PhyloPDCalculator initialized (using TreeSwift).
✓ Faith's PD calculator loaded

================================================================================
STAGE: Stage 2: 7-Plant
================================================================================
Guild size: 7 plants
Guilds per tier: 20,000

tier_1_tropical:
  Plant pool: 1,659

  Sampling:   0%|          | 0/20000 [00:00<?, ?it/s]
  Sampling:   0%|          | 9/20000 [00:00<04:07, 80.69it/s]
  Sampling:   0%|          | 18/20000 [00:00<04:03, 81.90it/s]
  Sampling:   0%|          | 27/20000 [00:00<04:02, 82.50it/s]
  Sampling:   0%|          | 36/20000 [00:00<04:02, 82.38it/s]
  Sampling:   0%|          | 45/20000 [00:00<04:01, 82.47it/s]
  Sampling:   0%|          | 54/20000 [00:00<04:02, 82.34it/s]
  Sampling:   0%|          | 63/20000 [00:00<04:02, 82.22it/s]
  Sampling:   0%|          | 72/20000 [00:00<04:01, 82.42it/s]
  Sampling:   0%|          | 81/20000 [00:00<04:01, 82.61it/s]
  Sampling:   0%|          | 90/20000 [00:01<04:00, 82.72it/s]
  Sampling:   0%|          | 99/20000 [00:01<04:00, 82.67it/s]
  Sampling:   1%|          | 108/20000 [00:01<03:59, 82.91it/s]
  Sampling:   1%|          | 117/20000 [00:01<03:59, 82.98it/s]
  Sampling:   1%|          | 126/20000 [00:01<03:59, 83.08it/s]
  Sampling:   1%|          | 135/20000 [00:01<03:59, 83.04it/s]
  Sampling:   1%|          | 144/20000 [00:01<03:59, 83.04it/s]
  Sampling:   1%|          | 153/20000 [00:01<03:58, 83.09it/s]
  Sampling:   1%|          | 162/20000 [00:01<03:59, 82.87it/s]
  Sampling:   1%|          | 171/20000 [00:02<03:59, 82.83it/s]
  Sampling:   1%|          | 180/20000 [00:02<03:59, 82.86it/s]
  Sampling:   1%|          | 189/20000 [00:02<03:59, 82.77it/s]
  Sampling:   1%|          | 198/20000 [00:02<03:59, 82.77it/s]
  Sampling:   1%|          | 207/20000 [00:02<03:59, 82.80it/s]
  Sampling:   1%|          | 216/20000 [00:02<03:59, 82.76it/s]
  Sampling:   1%|          | 225/20000 [00:02<03:58, 82.79it/s]
  Sampling:   1%|          | 234/20000 [00:02<03:58, 82.85it/s]
  Sampling:   1%|          | 243/20000 [00:02<03:58, 82.93it/s]
  Sampling:   1%|▏         | 252/20000 [00:03<03:58, 82.88it/s]
  Sampling:   1%|▏         | 261/20000 [00:03<03:58, 82.92it/s]
  Sampling:   1%|▏         | 270/20000 [00:03<03:58, 82.72it/s]
  Sampling:   1%|▏         | 279/20000 [00:03<03:58, 82.75it/s]
  Sampling:   1%|▏         | 288/20000 [00:03<03:58, 82.66it/s]
  Sampling:   1%|▏         | 297/20000 [00:03<03:59, 82.43it/s]
  Sampling:   2%|▏         | 306/20000 [00:03<03:58, 82.53it/s]
  Sampling:   2%|▏         | 315/20000 [00:03<03:58, 82.54it/s]
  Sampling:   2%|▏         | 324/20000 [00:03<03:57, 82.69it/s]
  Sampling:   2%|▏         | 333/20000 [00:04<03:57, 82.92it/s]
  Sampling:   2%|▏         | 342/20000 [00:04<03:57, 82.65it/s]
  Sampling:   2%|▏         | 351/20000 [00:04<03:57, 82.62it/s]
  Sampling:   2%|▏         | 360/20000 [00:04<03:57, 82.84it/s]
  Sampling:   2%|▏         | 369/20000 [00:04<03:57, 82.69it/s]
  Sampling:   2%|▏         | 378/20000 [00:04<03:57, 82.53it/s]
  Sampling:   2%|▏         | 387/20000 [00:04<03:57, 82.66it/s]
  Sampling:   2%|▏         | 396/20000 [00:04<03:56, 82.72it/s]
  Sampling:   2%|▏         | 405/20000 [00:04<03:57, 82.59it/s]
  Sampling:   2%|▏         | 414/20000 [00:05<03:57, 82.57it/s]
  Sampling:   2%|▏         | 423/20000 [00:05<03:57, 82.38it/s]
  Sampling:   2%|▏         | 432/20000 [00:05<03:58, 81.96it/s]
  Sampling:   2%|▏         | 441/20000 [00:05<03:57, 82.25it/s]
  Sampling:   2%|▏         | 450/20000 [00:05<03:56, 82.55it/s]
  Sampling:   2%|▏         | 459/20000 [00:05<03:56, 82.77it/s]
  Sampling:   2%|▏         | 468/20000 [00:05<03:56, 82.64it/s]
  Sampling:   2%|▏         | 477/20000 [00:05<03:55, 82.80it/s]
  Sampling:   2%|▏         | 486/20000 [00:05<03:55, 82.74it/s]
  Sampling:   2%|▏         | 495/20000 [00:05<03:55, 82.76it/s]
  Sampling:   3%|▎         | 504/20000 [00:06<03:55, 82.89it/s]
  Sampling:   3%|▎         | 513/20000 [00:06<03:54, 83.06it/s]
  Sampling:   3%|▎         | 522/20000 [00:06<03:52, 83.61it/s]
  Sampling:   3%|▎         | 531/20000 [00:06<03:52, 83.71it/s]
  Sampling:   3%|▎         | 540/20000 [00:06<03:51, 83.89it/s]
  Sampling:   3%|▎         | 549/20000 [00:06<03:51, 84.08it/s]
  Sampling:   3%|▎         | 558/20000 [00:06<03:51, 84.15it/s]
  Sampling:   3%|▎         | 567/20000 [00:06<03:51, 84.07it/s]
  Sampling:   3%|▎         | 576/20000 [00:06<03:50, 84.14it/s]
  Sampling:   3%|▎         | 585/20000 [00:07<03:50, 84.32it/s]
  Sampling:   3%|▎         | 594/20000 [00:07<03:49, 84.39it/s]
